id,fecha,modulo,descripcion,rol_usuario,sede
1001,2025-11-03,HCE,Nota de evolucion tarda 22s en guardarse,Medico,Quito
1002,2025-11-03,Portal Citas,Usuario no logra agendar tras 3 intentos,Paciente,Guayaquil
1003,2025-11-04,Facturacion,Factura duplicada al reintentar pago,Admision,Cuenca
1004,2025-11-05,Telemedicina,Videollamada se corta a los 4 minutos,Paciente,Ambato
1005,2025-11-05,HCE,Datos de otro paciente visibles brevemente,Medico,Quito
1006,2025-11-06,Portal Citas,"Formulario confuso, abandono de registro",Paciente,Manta
1007,2/1/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Guayaquil
1008,10/28/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Medico,Cuenca
1009,10/23/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Enfermeria,Quito
1010,11/9/2025,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Admision,Ambato
1011,9/9/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Guayaquil
1012,6/30/2025,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Ambato
1013,12/8/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Medico,Quito
1014,7/18/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Cuenca
1015,11/10/2025,Laboratorio,Retraso de 14s en la disponibilidad de resultados criticos,Medico,Quito
1016,5/8/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Quito
1017,5/24/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Admision,Quito
1018,12/17/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Medico,Ambato
1019,12/5/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Enfermeria,Quito
1020,1/4/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Ambato
1021,9/22/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Enfermeria,Cuenca
